,Film,Song,Raga
339,Ishqiya,Badi Dheere Jali,lalith
340,Leader,Ek Shahenshah Ne Banvaa Ke Hasin Tajmahal,lalith
341,(non-film song),Koi Paas Aya Savere Savere,lalith
342,Chacha Zindabad,Pritam Daras Dikhao,lalith
343,Kalpana,Tu Hai Mera Prem Devta,lalith
344,Rani Roopmati,A Laut Ke Ajaa Mere Meet,Madhumadhavi Sarang
345,Non Film Song,Bin Barish Barsaat Na Hogi,Madhumadhavi Sarang
346,Madhumati,Chad Gayo Paapi Bichua,Madhmat Sarang
347,Sanjh Aur Savera,Ajahun Na Aye Balma,Madhuvanti
348,Chala Vahi Desh (Non-Film),Ko Birahini Ko Dukh Jane,Madhuvanti
349,Dil Ki Rahen,Rasm-e-Ulfat Ko Nibhaen To Nibhaen Kaise,Madhuvanti
350,Picnic,Balma Bolo Na,Malgunji
351,Chhote Nawab,Ghar A Jaa Ghir Aye Badra Sanvareya,Malgunji
352,Safar,Jivan Se Bhari Teri Ankhen,Malgunji
353,Anand,"Naa, Jiyaa Laage Naa Tere Bina Mera Kahin",Malgunji
354,Jhanak Jhanak Payel Baaje,Naina So Nain Nahin Milo,Malgunji
355,Adalat,Unko Ye Shikayat Hai Ke Ham,Malgunji
356,Abhimaan,Ab To Hai Tumse Har Khushi Apni,Mand
357,Baiju Baawara,Bachpan Ki Mohabbat Ko Dil Se Na Judaa Karna,Mand
358,Shabaab,Jo Me Jaanthi Bisarat,Mand
359,Lekin,Kesariya Balma,Mand
360,Swarg Nark,Piya Piya Bole Mora Kangana,Mand
361,Reshma Aur Shera,Tu Chanda Main Chandani,Mand
362,Anuradha,Jaane Kaise Sapanon Main Kho Gayi Ankhiyan,Manj Khammaj
363,Shagird,Kaanha Kanha Aan Padi Re Tere Dwar,Manj Khammaj
364,Anuradha,Kaise Dina Bite Kaise Biti Ratiyan Piya Jane Na,Manj Khammaj
365,Bheegee Raat,Dil Jo Na Kahe Saka,Maru Bihag
366,Ek Phool Chaar Kaante,Matawali Naar Thumak Thumak,Maru Bihag
367,Ek Raaz,Payalwali Dekhna,Maru Bihag
368,Mehbooba,Radha Jaye Na (AKA Jamuna Kinare),Maru Bihag
369,Sehraa,Tum To Pyar Ho Sajna,Maru Bihag
370,Saaz Aur Aawaz,Payeliya Banvari,marwa
371,Chashme Buddoor,Kahan Se Aye Badra,Megh
372,(non-film song),Konpalen Phir Fut Ayi,Megh
373,(non-film song),Mahefil Men Baar Baar Kisi Par Nazar Gai,Megh
374,Tansen,Baraso Re,Megh Malhar
375,Mother India,Dukha Bhare Din Bite Re Bhaiya,Megh Malhar
376,Mera Naam Joker,"Kaare Kaare Badra, Suni Suni Ratiya (a.k.a More Ang Lag Ja Balma)",Megh Malhar
377,Boot Polish,Lapak Jhapak,Megh Malhar
378,Kohinoor,Tan Ranga Lo Ji Aaj Man Ranga Lo Baraso Re,Megh Malhar
379,Saaz,Baadal Ghumad Bhar Aaye,Mian Ki Malhar
380,Basant Bahar,Bhaye Bhanjana...Darasa Tere Mange Main Tera Pujari,Mian Ki Malhar
381,Guddi,"Bole Re Papihara, Papihara",Mian Ki Malhar
382,(non-film song),Ek Bas Tu Hi Nain,Mian Ki Malhar
383,Ladki Sayadri Ki,Karo Sab Nichhavar,Mian Ki Malhar
